Brand,Processor,RAM (GB),Storage,GPU,Screen Size (inch),Resolution,Battery Life (hours),Weight (kg),Operating System,Price ($)
HP,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3060,17.3,1366x768,6.6,1.64,FreeDOS,1828.0
Acer,Intel i5,4,512GB SSD,Nvidia RTX 3060,13.3,1366x768,11.6,3.05,Linux,670.22
MSI,AMD Ryzen 7,16,256GB SSD,Nvidia RTX 2060,15.6,2560x1440,5.6,2.51,FreeDOS,2758.3
Razer,Intel i7,16,1TB HDD,AMD Radeon RX 6600,14.0,1366x768,7.5,1.54,macOS,1520.8
MSI,Intel i5,64,256GB SSD,Nvidia RTX 2060,17.3,1920x1080,4.8,3.06,FreeDOS,3301.34
Samsung,Intel i7,64,256GB SSD,AMD Radeon RX 6600,14.0,3840x2160,7.6,2.82,Windows,4870.14
MSI,Intel i5,32,256GB SSD,AMD Radeon RX 6600,16.0,1920x1080,6.0,1.36,macOS,2377.24
Lenovo,Intel i9,16,256GB SSD,AMD Radeon RX 6600,14.0,2560x1440,8.4,3.17,macOS,2525.95
MSI,Intel i7,64,256GB SSD,Nvidia RTX 3060,14.0,1920x1080,8.4,1.78,Linux,3692.91
Acer,Intel i3,16,1TB SSD,AMD Radeon RX 6800,14.0,2560x1440,8.0,2.33,Linux,1154.02
Razer,Intel i7,32,256GB SSD,Integrated,16.0,2560x1440,11.8,2.79,macOS,2599.68
Lenovo,AMD Ryzen 7,32,256GB SSD,Nvidia RTX 3080,15.6,2560x1440,4.4,1.43,Linux,2801.4
HP,Intel i7,4,1TB HDD,Nvidia GTX 1650,16.0,1366x768,10.8,1.29,Windows,766.97
Lenovo,AMD Ryzen 7,16,2TB SSD,AMD Radeon RX 6600,15.6,2560x1440,4.5,3.38,FreeDOS,1935.67
Dell,Intel i9,32,512GB SSD,Nvidia RTX 3080,14.0,1920x1080,10.4,1.48,Linux,2688.12
Microsoft,Intel i7,4,1TB SSD,Integrated,14.0,3840x2160,9.4,2.26,FreeDOS,1198.2
Dell,Intel i5,32,512GB SSD,Nvidia RTX 3080,14.0,1366x768,11.0,3.29,Linux,1262.3
HP,Intel i7,16,1TB SSD,AMD Radeon RX 6800,13.3,3840x2160,4.8,2.65,Windows,2538.61
Asus,AMD Ryzen 9,32,1TB HDD,Nvidia RTX 3060,14.0,2560x1440,9.2,2.31,Linux,2860.86
Acer,AMD Ryzen 7,4,1TB HDD,AMD Radeon RX 6800,13.3,3840x2160,6.1,2.48,FreeDOS,1549.1
Apple,AMD Ryzen 9,64,2TB SSD,Nvidia GTX 1650,17.3,1920x1080,6.4,3.45,macOS,6397.85
Samsung,AMD Ryzen 7,8,1TB SSD,Nvidia GTX 1650,13.3,1920x1080,7.0,3.22,Windows,1161.06
HP,Intel i5,32,256GB SSD,AMD Radeon RX 6600,14.0,3840x2160,8.1,2.41,FreeDOS,2509.32
Lenovo,AMD Ryzen 5,16,1TB HDD,Nvidia GTX 1650,13.3,2560x1440,5.3,1.57,macOS,1400.77
Samsung,Intel i9,8,2TB SSD,AMD Radeon RX 6800,17.3,3840x2160,11.2,2.9,FreeDOS,3004.5
Acer,AMD Ryzen 7,4,1TB SSD,Integrated,17.3,1920x1080,5.4,2.89,Linux,706.99
Microsoft,Intel i9,32,256GB SSD,Nvidia RTX 3060,15.6,3840x2160,9.0,1.63,macOS,4835.58
HP,Intel i9,4,256GB SSD,Nvidia RTX 2060,13.3,2560x1440,5.3,2.99,Linux,1905.6
Razer,Intel i3,4,1TB HDD,Nvidia RTX 3060,15.6,1366x768,11.4,2.74,Windows,979.11
Asus,Intel i9,64,256GB SSD,Nvidia RTX 3080,17.3,1920x1080,5.0,2.26,FreeDOS,4410.57
Apple,Intel i7,4,256GB SSD,AMD Radeon RX 6800,14.0,3840x2160,10.9,2.86,FreeDOS,2711.79
Samsung,Intel i3,4,256GB SSD,Nvidia GTX 1650,13.3,2560x1440,4.1,1.24,Windows,1086.02
Microsoft,Intel i3,64,2TB SSD,Nvidia RTX 3080,15.6,3840x2160,6.9,2.55,Windows,3536.61
HP,Intel i9,8,1TB SSD,AMD Radeon RX 6600,13.3,1366x768,11.8,1.37,macOS,1328.31
Dell,AMD Ryzen 9,8,1TB SSD,Nvidia RTX 3080,17.3,1920x1080,4.5,1.44,FreeDOS,1710.15
MSI,AMD Ryzen 9,16,2TB SSD,Nvidia GTX 1650,15.6,1366x768,4.9,3.37,FreeDOS,2479.08
Asus,Intel i3,64,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,8.7,2.58,macOS,1558.21
HP,Intel i9,4,2TB SSD,Nvidia RTX 3080,17.3,2560x1440,9.3,2.59,macOS,2141.31
Razer,AMD Ryzen 7,64,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,10.1,2.97,Linux,5748.21
HP,AMD Ryzen 9,8,2TB SSD,Integrated,15.6,2560x1440,9.4,1.82,FreeDOS,1428.25
Acer,Intel i9,64,512GB SSD,Integrated,16.0,1920x1080,5.4,1.5,Windows,2922.92
Apple,AMD Ryzen 9,16,512GB SSD,AMD Radeon RX 6600,13.3,1920x1080,9.0,1.43,Linux,2888.5
HP,AMD Ryzen 5,8,2TB SSD,AMD Radeon RX 6800,14.0,3840x2160,6.6,2.52,FreeDOS,1545.49
Apple,AMD Ryzen 7,16,1TB SSD,Nvidia RTX 2060,14.0,2560x1440,11.4,1.93,Linux,2754.91
Samsung,AMD Ryzen 9,32,2TB SSD,Nvidia RTX 2060,17.3,2560x1440,6.2,1.66,macOS,3534.58
MSI,AMD Ryzen 3,32,2TB SSD,Nvidia RTX 2060,17.3,3840x2160,11.4,2.51,Windows,3080.05
HP,AMD Ryzen 9,8,256GB SSD,Nvidia GTX 1650,14.0,1920x1080,8.9,2.31,Windows,1560.77
Samsung,Intel i7,16,256GB SSD,Nvidia GTX 1650,16.0,2560x1440,10.6,2.1,FreeDOS,2042.31
Dell,Intel i5,4,1TB HDD,Nvidia RTX 3060,16.0,1920x1080,10.1,1.96,macOS,835.56
Asus,Intel i5,16,2TB SSD,Nvidia RTX 3060,15.6,2560x1440,4.4,2.38,Linux,1633.81
Acer,AMD Ryzen 7,64,1TB HDD,Nvidia RTX 3080,14.0,3840x2160,4.7,2.75,FreeDOS,4017.21
Acer,Intel i7,16,512GB SSD,Nvidia RTX 3080,17.3,1920x1080,11.9,2.58,macOS,1520.46
MSI,Intel i5,64,256GB SSD,Integrated,17.3,1920x1080,6.2,1.64,FreeDOS,2374.37
Microsoft,AMD Ryzen 5,4,1TB SSD,Nvidia RTX 3080,14.0,2560x1440,11.4,2.43,macOS,1179.64
Lenovo,AMD Ryzen 5,64,1TB HDD,AMD Radeon RX 6600,14.0,2560x1440,8.7,3.4,macOS,2440.58
Dell,Intel i3,32,2TB SSD,Nvidia RTX 3080,15.6,2560x1440,9.9,2.19,macOS,1828.37
MSI,Intel i7,64,512GB SSD,Nvidia RTX 2060,14.0,3840x2160,11.2,1.59,Windows,6367.0
Microsoft,AMD Ryzen 5,16,2TB SSD,Nvidia RTX 3080,13.3,3840x2160,10.8,3.46,macOS,1905.7
Microsoft,Intel i9,16,1TB HDD,Nvidia RTX 3060,15.6,1920x1080,11.3,1.81,macOS,1776.13
HP,Intel i9,64,512GB SSD,Nvidia RTX 3080,17.3,1366x768,9.9,3.34,macOS,3564.35
Acer,AMD Ryzen 7,4,1TB SSD,Nvidia RTX 3080,13.3,2560x1440,6.0,1.45,Windows,1341.28
Razer,AMD Ryzen 9,64,1TB SSD,Nvidia RTX 3080,14.0,2560x1440,4.5,3.25,Linux,6931.86
Samsung,AMD Ryzen 9,16,512GB SSD,Nvidia RTX 3080,13.3,3840x2160,4.1,2.62,macOS,3236.72
MSI,Intel i5,64,512GB SSD,Nvidia GTX 1650,14.0,1366x768,10.8,1.32,Linux,2562.18
Samsung,AMD Ryzen 9,64,1TB SSD,AMD Radeon RX 6600,14.0,3840x2160,6.6,2.12,Windows,6642.34
MSI,Intel i5,32,1TB HDD,Integrated,16.0,3840x2160,7.9,3.5,macOS,2235.83
Acer,AMD Ryzen 3,4,1TB HDD,Nvidia RTX 3060,13.3,1366x768,4.2,2.47,FreeDOS,702.88
MSI,AMD Ryzen 5,8,1TB HDD,Nvidia RTX 3060,15.6,1366x768,7.2,1.53,macOS,982.8
MSI,AMD Ryzen 7,4,1TB HDD,Integrated,15.6,1920x1080,10.0,3.05,Linux,1021.04
Lenovo,AMD Ryzen 9,4,256GB SSD,Nvidia RTX 3080,16.0,3840x2160,10.4,1.45,macOS,2867.36
MSI,AMD Ryzen 3,8,256GB SSD,Nvidia GTX 1650,17.3,1920x1080,8.1,2.62,Linux,1246.9
Apple,AMD Ryzen 9,16,256GB SSD,Integrated,14.0,1920x1080,12.0,1.93,Windows,1935.61
Razer,Intel i7,64,1TB SSD,Integrated,13.3,1920x1080,10.8,3.07,Windows,2805.21
Razer,Intel i3,16,1TB SSD,Nvidia RTX 3060,15.6,1920x1080,4.5,3.18,macOS,1669.47
Microsoft,Intel i3,64,256GB SSD,Nvidia RTX 3080,16.0,2560x1440,7.5,2.83,macOS,2761.97
MSI,AMD Ryzen 5,64,2TB SSD,Integrated,13.3,2560x1440,7.7,3.07,macOS,2509.78
Acer,Intel i9,64,2TB SSD,AMD Radeon RX 6800,15.6,1920x1080,4.6,3.27,macOS,4430.82
Apple,Intel i3,16,2TB SSD,AMD Radeon RX 6800,16.0,2560x1440,4.9,1.21,macOS,1969.36
Acer,AMD Ryzen 3,8,512GB SSD,AMD Radeon RX 6800,14.0,3840x2160,10.5,2.6,Windows,1377.63
HP,AMD Ryzen 3,32,1TB HDD,Nvidia RTX 3080,16.0,3840x2160,7.4,2.19,macOS,1990.86
MSI,Intel i9,4,2TB SSD,Integrated,17.3,1920x1080,10.1,2.72,macOS,1339.56
Microsoft,Intel i5,8,1TB SSD,Nvidia RTX 2060,15.6,1366x768,11.5,2.29,Linux,853.69
Lenovo,AMD Ryzen 3,64,2TB SSD,Nvidia RTX 3080,16.0,3840x2160,11.7,2.99,Linux,3551.38
HP,Intel i7,64,1TB HDD,Nvidia RTX 3080,17.3,1366x768,8.5,2.61,Windows,2354.78
HP,Intel i3,64,512GB SSD,Nvidia RTX 3060,15.6,1920x1080,6.6,3.13,Linux,2117.85
MSI,Intel i3,16,1TB HDD,Nvidia RTX 3080,15.6,3840x2160,4.6,2.31,macOS,1851.76
Asus,AMD Ryzen 7,16,1TB HDD,Nvidia RTX 3080,17.3,3840x2160,9.1,2.72,Linux,2198.86
Asus,Intel i9,32,1TB HDD,Nvidia RTX 3060,17.3,1366x768,10.0,3.44,Linux,2113.89
HP,Intel i9,16,2TB SSD,Nvidia RTX 2060,14.0,1920x1080,11.9,1.35,Linux,2050.44
Samsung,AMD Ryzen 7,16,1TB HDD,AMD Radeon RX 6600,14.0,3840x2160,4.8,1.91,FreeDOS,1963.54
HP,AMD Ryzen 3,16,256GB SSD,AMD Radeon RX 6800,14.0,1366x768,7.8,1.21,Windows,872.81
MSI,Intel i7,64,1TB SSD,Nvidia RTX 3060,15.6,1366x768,10.5,2.14,Windows,3426.51
Lenovo,AMD Ryzen 9,64,1TB HDD,AMD Radeon RX 6800,14.0,1366x768,10.2,2.14,macOS,2878.94
Samsung,Intel i3,64,256GB SSD,Nvidia GTX 1650,13.3,1366x768,11.5,3.49,macOS,1694.77
Lenovo,Intel i9,32,2TB SSD,AMD Radeon RX 6800,14.0,1366x768,10.5,3.2,Linux,2196.34
Razer,Intel i3,4,256GB SSD,Nvidia RTX 2060,14.0,1366x768,7.2,3.16,macOS,833.55
Apple,Intel i9,16,1TB HDD,Nvidia RTX 3060,14.0,1366x768,6.7,1.48,Windows,2223.46
Acer,AMD Ryzen 9,64,2TB SSD,Nvidia RTX 2060,17.3,3840x2160,11.3,1.24,FreeDOS,7161.67
Acer,Intel i5,64,1TB HDD,AMD Radeon RX 6600,16.0,3840x2160,9.5,1.42,macOS,3745.87
Lenovo,AMD Ryzen 3,8,2TB SSD,Nvidia RTX 2060,17.3,3840x2160,7.2,2.82,FreeDOS,1586.13
Microsoft,AMD Ryzen 3,32,512GB SSD,Nvidia RTX 3080,17.3,3840x2160,11.9,1.28,macOS,2518.65
Dell,AMD Ryzen 7,16,1TB SSD,AMD Radeon RX 6600,15.6,1920x1080,4.4,1.7,Linux,1779.06
Acer,Intel i5,8,1TB HDD,Integrated,13.3,1366x768,4.7,1.47,Linux,499.21
Lenovo,AMD Ryzen 3,8,1TB HDD,AMD Radeon RX 6600,14.0,2560x1440,5.2,1.68,macOS,996.27
Lenovo,AMD Ryzen 7,4,256GB SSD,Nvidia RTX 3060,13.3,2560x1440,4.9,2.37,Windows,1464.43
Microsoft,Intel i9,16,1TB HDD,Nvidia RTX 2060,13.3,1366x768,4.5,1.33,macOS,1335.76
Samsung,AMD Ryzen 7,64,2TB SSD,Nvidia RTX 3080,16.0,3840x2160,11.9,2.52,FreeDOS,5448.95
Apple,AMD Ryzen 7,16,1TB SSD,Nvidia RTX 3060,15.6,1920x1080,7.5,1.22,Linux,2553.67
MSI,Intel i7,8,2TB SSD,Nvidia RTX 2060,16.0,1920x1080,7.3,2.78,FreeDOS,1868.07
Dell,Intel i9,4,256GB SSD,Nvidia RTX 3080,17.3,1366x768,6.8,3.13,Linux,1391.77
Lenovo,AMD Ryzen 3,16,1TB SSD,AMD Radeon RX 6800,15.6,3840x2160,8.9,2.09,FreeDOS,1914.72
Dell,Intel i9,16,256GB SSD,AMD Radeon RX 6800,15.6,2560x1440,10.4,3.38,Windows,2602.78
Razer,Intel i7,64,1TB SSD,Nvidia GTX 1650,14.0,3840x2160,9.8,1.23,macOS,6792.99
HP,AMD Ryzen 9,64,2TB SSD,AMD Radeon RX 6800,17.3,2560x1440,5.5,2.12,FreeDOS,5420.13
MSI,AMD Ryzen 9,4,2TB SSD,Integrated,16.0,1920x1080,10.3,1.67,Linux,1420.6
HP,Intel i7,32,1TB HDD,Nvidia RTX 3080,14.0,1920x1080,9.9,3.07,Windows,1570.99
Apple,AMD Ryzen 3,16,1TB SSD,AMD Radeon RX 6800,14.0,1366x768,6.2,3.33,Windows,1373.3
Lenovo,AMD Ryzen 9,64,2TB SSD,Integrated,17.3,2560x1440,8.4,2.33,FreeDOS,3517.57
Dell,AMD Ryzen 7,8,1TB SSD,Nvidia GTX 1650,14.0,2560x1440,4.0,3.41,macOS,1554.19
Dell,AMD Ryzen 5,4,2TB SSD,Nvidia RTX 2060,13.3,2560x1440,7.0,3.22,Linux,1087.76
Asus,Intel i7,64,2TB SSD,Integrated,16.0,3840x2160,6.0,1.3,FreeDOS,3740.42
Razer,AMD Ryzen 3,16,1TB HDD,Nvidia GTX 1650,16.0,1366x768,10.9,2.27,Linux,1171.84
Samsung,AMD Ryzen 5,4,1TB HDD,Nvidia RTX 3060,16.0,1366x768,4.8,3.04,Linux,589.91
MSI,AMD Ryzen 3,4,256GB SSD,Nvidia RTX 3080,16.0,1366x768,9.8,2.2,macOS,1000.02
Microsoft,AMD Ryzen 7,64,1TB SSD,AMD Radeon RX 6600,14.0,3840x2160,10.8,2.52,Windows,4797.28
Asus,Intel i9,8,256GB SSD,Nvidia RTX 2060,17.3,1920x1080,8.1,3.32,macOS,1942.28
Asus,AMD Ryzen 7,64,1TB HDD,AMD Radeon RX 6600,16.0,1366x768,10.6,3.11,FreeDOS,2375.17
Dell,Intel i7,8,1TB HDD,Nvidia RTX 3080,16.0,1920x1080,8.1,2.35,Linux,1142.96
Acer,Intel i7,64,512GB SSD,AMD Radeon RX 6800,14.0,3840x2160,4.7,2.74,macOS,4837.02
Asus,AMD Ryzen 7,4,2TB SSD,Nvidia GTX 1650,17.3,1366x768,6.9,1.84,macOS,1165.8
Acer,Intel i7,4,256GB SSD,AMD Radeon RX 6600,16.0,2560x1440,4.1,1.41,FreeDOS,1602.19
Razer,AMD Ryzen 7,32,512GB SSD,Nvidia GTX 1650,17.3,3840x2160,4.7,2.69,macOS,4977.46
Apple,Intel i7,8,512GB SSD,AMD Radeon RX 6600,17.3,1920x1080,7.0,2.92,macOS,2062.63
Samsung,AMD Ryzen 3,4,512GB SSD,Nvidia GTX 1650,13.3,1366x768,7.7,3.2,FreeDOS,653.98
Acer,Intel i3,32,256GB SSD,AMD Radeon RX 6800,14.0,2560x1440,9.8,3.44,Windows,1776.44
HP,AMD Ryzen 5,64,512GB SSD,AMD Radeon RX 6800,17.3,3840x2160,4.3,2.27,FreeDOS,4246.12
Lenovo,Intel i3,32,256GB SSD,Nvidia GTX 1650,15.6,1920x1080,8.2,1.9,Windows,1585.87
Lenovo,AMD Ryzen 9,4,256GB SSD,Nvidia RTX 3060,13.3,3840x2160,5.2,2.25,Linux,2618.94
Asus,AMD Ryzen 3,4,2TB SSD,Nvidia GTX 1650,16.0,2560x1440,8.3,1.38,FreeDOS,929.99
HP,Intel i9,64,256GB SSD,Nvidia GTX 1650,16.0,1366x768,9.2,3.47,macOS,3731.57
Asus,Intel i5,64,2TB SSD,AMD Radeon RX 6600,15.6,1920x1080,5.3,2.07,Linux,2507.92
HP,AMD Ryzen 3,64,1TB HDD,Nvidia RTX 3060,16.0,1920x1080,11.4,2.79,Windows,1933.14
Dell,Intel i9,64,2TB SSD,Nvidia RTX 3060,15.6,2560x1440,6.6,1.69,macOS,5327.56
Asus,Intel i5,16,1TB SSD,Nvidia GTX 1650,16.0,1920x1080,6.6,3.11,macOS,1278.54
Acer,AMD Ryzen 7,64,2TB SSD,Nvidia RTX 2060,13.3,1920x1080,4.3,2.27,Linux,3114.12
Microsoft,Intel i7,4,1TB HDD,AMD Radeon RX 6800,16.0,3840x2160,11.3,1.83,macOS,1689.61
Acer,AMD Ryzen 5,32,1TB SSD,Nvidia RTX 3080,13.3,1920x1080,7.0,2.15,macOS,1735.19
Acer,AMD Ryzen 7,8,512GB SSD,Nvidia GTX 1650,14.0,2560x1440,9.0,2.83,FreeDOS,1709.36
Dell,AMD Ryzen 9,4,256GB SSD,Nvidia RTX 3060,16.0,2560x1440,9.2,2.81,macOS,2006.56
MSI,AMD Ryzen 7,8,256GB SSD,Integrated,14.0,3840x2160,5.8,1.64,Linux,1940.81
Samsung,AMD Ryzen 5,4,256GB SSD,AMD Radeon RX 6800,14.0,2560x1440,6.9,2.55,Linux,1202.08
Samsung,AMD Ryzen 9,32,1TB SSD,Nvidia GTX 1650,13.3,1366x768,5.8,1.88,Windows,2125.67
Samsung,Intel i9,16,1TB SSD,Nvidia RTX 3080,14.0,1366x768,10.8,1.46,macOS,1691.72
Asus,Intel i5,32,1TB HDD,AMD Radeon RX 6600,16.0,1366x768,10.9,1.8,FreeDOS,1239.79
Dell,Intel i5,64,1TB HDD,AMD Radeon RX 6800,17.3,3840x2160,7.3,2.45,macOS,3664.29
Lenovo,AMD Ryzen 9,4,1TB HDD,Nvidia RTX 2060,17.3,1920x1080,4.2,2.88,FreeDOS,1490.39
HP,AMD Ryzen 5,64,512GB SSD,Integrated,16.0,2560x1440,5.9,3.24,FreeDOS,2280.87
Asus,AMD Ryzen 9,64,1TB SSD,AMD Radeon RX 6800,13.3,1366x768,8.9,1.56,macOS,3172.25
Apple,AMD Ryzen 5,8,1TB SSD,AMD Radeon RX 6800,15.6,3840x2160,8.8,1.31,Windows,2737.01
Apple,Intel i3,64,1TB HDD,Nvidia RTX 2060,15.6,2560x1440,5.7,3.06,Windows,3458.71
HP,AMD Ryzen 7,16,256GB SSD,Integrated,16.0,1920x1080,11.4,2.28,Windows,1053.8
Apple,Intel i5,16,256GB SSD,Nvidia RTX 3060,17.3,1920x1080,8.0,1.63,Linux,1976.28
Samsung,Intel i5,16,256GB SSD,AMD Radeon RX 6600,13.3,2560x1440,6.6,1.31,macOS,1609.44
Asus,Intel i7,8,256GB SSD,AMD Radeon RX 6600,16.0,3840x2160,5.5,1.57,Linux,2244.32
Apple,AMD Ryzen 5,4,256GB SSD,Nvidia RTX 3080,14.0,2560x1440,5.5,2.74,macOS,1606.46
Asus,Intel i3,4,2TB SSD,AMD Radeon RX 6800,16.0,1366x768,9.5,2.14,Linux,775.59
Samsung,Intel i9,32,2TB SSD,AMD Radeon RX 6800,16.0,1920x1080,6.1,2.79,Windows,2901.7
Samsung,Intel i7,8,256GB SSD,AMD Radeon RX 6600,14.0,1366x768,5.8,3.09,Linux,1190.51
HP,Intel i3,64,1TB SSD,AMD Radeon RX 6800,15.6,1920x1080,4.3,2.22,Linux,2155.04
Microsoft,AMD Ryzen 9,16,256GB SSD,AMD Radeon RX 6800,16.0,2560x1440,11.5,2.27,Windows,2797.87
Acer,AMD Ryzen 7,4,512GB SSD,Nvidia GTX 1650,15.6,2560x1440,11.1,3.24,FreeDOS,1539.33
Microsoft,Intel i9,32,2TB SSD,Integrated,14.0,2560x1440,4.6,3.45,Linux,2077.61
HP,Intel i3,64,512GB SSD,Nvidia GTX 1650,16.0,1920x1080,9.6,2.09,FreeDOS,2149.74
Asus,AMD Ryzen 3,32,2TB SSD,AMD Radeon RX 6800,15.6,1366x768,11.7,1.52,FreeDOS,1154.02
Microsoft,Intel i7,8,1TB SSD,Nvidia RTX 3060,14.0,2560x1440,4.6,2.54,FreeDOS,1619.43
Microsoft,AMD Ryzen 5,8,256GB SSD,Integrated,15.6,3840x2160,8.1,3.32,macOS,1253.13
Asus,Intel i7,32,512GB SSD,Nvidia RTX 3060,15.6,2560x1440,4.4,1.82,Linux,2771.05
MSI,Intel i5,32,2TB SSD,Nvidia GTX 1650,15.6,1920x1080,10.0,2.1,Linux,2406.13
Razer,AMD Ryzen 5,8,512GB SSD,Nvidia RTX 3060,14.0,3840x2160,10.8,1.76,Windows,2312.45
Asus,Intel i7,16,256GB SSD,Integrated,14.0,3840x2160,11.0,2.53,Linux,1752.81
Asus,AMD Ryzen 3,64,512GB SSD,Nvidia RTX 3060,15.6,2560x1440,11.9,1.99,FreeDOS,2776.0
Razer,Intel i9,32,256GB SSD,Integrated,13.3,2560x1440,11.5,1.93,Linux,3110.62
Samsung,AMD Ryzen 7,64,1TB SSD,Integrated,17.3,1920x1080,4.7,2.11,macOS,2167.06
Asus,AMD Ryzen 7,64,256GB SSD,Nvidia RTX 2060,13.3,1920x1080,9.9,3.13,Linux,3034.74
Microsoft,Intel i3,4,1TB HDD,Nvidia GTX 1650,17.3,3840x2160,7.4,1.32,Linux,1312.02
HP,AMD Ryzen 9,16,1TB SSD,AMD Radeon RX 6600,15.6,3840x2160,9.6,2.29,Linux,3646.13
Samsung,Intel i3,64,1TB HDD,Nvidia GTX 1650,17.3,2560x1440,7.5,2.15,Windows,2393.27
Asus,Intel i7,16,2TB SSD,Nvidia GTX 1650,14.0,3840x2160,4.1,2.59,Windows,2352.27
Microsoft,Intel i7,16,1TB HDD,Nvidia GTX 1650,14.0,1920x1080,4.5,1.85,FreeDOS,1380.44
Apple,AMD Ryzen 3,8,2TB SSD,Nvidia GTX 1650,16.0,2560x1440,6.6,3.28,Linux,1754.71
MSI,Intel i5,4,256GB SSD,AMD Radeon RX 6800,13.3,1920x1080,4.5,2.93,Linux,1072.61
Razer,Intel i5,8,512GB SSD,Nvidia GTX 1650,17.3,2560x1440,6.2,2.39,Windows,1917.83
Acer,Intel i3,16,2TB SSD,Integrated,16.0,3840x2160,5.8,1.72,Linux,1270.1
Asus,AMD Ryzen 3,4,256GB SSD,Integrated,16.0,1920x1080,4.4,1.72,Windows,683.93
Asus,Intel i5,8,2TB SSD,AMD Radeon RX 6600,17.3,1366x768,5.3,1.89,FreeDOS,1018.28
Razer,Intel i5,4,1TB HDD,Nvidia RTX 3080,16.0,3840x2160,5.8,2.64,Windows,1893.82
MSI,Intel i3,32,256GB SSD,Nvidia RTX 3080,13.3,3840x2160,11.7,2.07,macOS,2929.63
Asus,AMD Ryzen 7,8,1TB SSD,Nvidia RTX 2060,14.0,2560x1440,5.8,1.56,Linux,1663.74
Apple,AMD Ryzen 7,4,1TB HDD,Nvidia GTX 1650,15.6,3840x2160,11.7,3.11,Linux,2512.76
HP,AMD Ryzen 7,64,1TB SSD,Nvidia RTX 2060,15.6,3840x2160,7.1,2.01,Linux,5485.0
Asus,Intel i9,64,2TB SSD,Nvidia RTX 2060,17.3,1366x768,4.7,1.6,macOS,3711.22
MSI,AMD Ryzen 7,4,1TB HDD,Nvidia RTX 2060,15.6,1366x768,8.9,3.44,FreeDOS,1096.03
Acer,Intel i5,16,256GB SSD,Integrated,17.3,2560x1440,5.4,2.98,FreeDOS,1099.0
Asus,AMD Ryzen 9,4,1TB HDD,AMD Radeon RX 6800,13.3,1366x768,9.5,2.01,Windows,1019.94
Acer,AMD Ryzen 3,4,512GB SSD,Integrated,15.6,1920x1080,5.3,1.94,FreeDOS,660.1
Lenovo,AMD Ryzen 5,32,1TB HDD,AMD Radeon RX 6600,16.0,2560x1440,7.0,1.63,Windows,1917.54
Apple,Intel i3,32,256GB SSD,Nvidia RTX 3060,13.3,2560x1440,5.7,2.14,Linux,2597.25
Microsoft,Intel i3,16,1TB HDD,AMD Radeon RX 6600,14.0,2560x1440,8.6,3.03,Windows,995.25
Samsung,Intel i3,4,1TB SSD,Nvidia RTX 2060,15.6,2560x1440,4.9,3.17,Windows,951.28
Razer,AMD Ryzen 9,8,2TB SSD,Nvidia GTX 1650,17.3,2560x1440,4.0,2.62,macOS,3031.1
Microsoft,Intel i9,32,512GB SSD,Nvidia GTX 1650,15.6,3840x2160,11.4,3.4,Linux,4830.98
Lenovo,AMD Ryzen 9,8,2TB SSD,Nvidia GTX 1650,13.3,2560x1440,7.3,1.26,Windows,2104.67
Dell,Intel i7,64,256GB SSD,Nvidia RTX 2060,14.0,1920x1080,4.5,2.11,FreeDOS,3045.2
Microsoft,Intel i5,64,1TB SSD,Nvidia RTX 3080,16.0,2560x1440,4.5,1.62,Windows,3205.15
Apple,Intel i9,64,1TB SSD,Integrated,17.3,2560x1440,7.4,3.43,FreeDOS,5395.18
Asus,AMD Ryzen 9,32,1TB HDD,Nvidia RTX 3060,14.0,3840x2160,11.7,2.33,FreeDOS,3501.66
Microsoft,AMD Ryzen 7,4,2TB SSD,Nvidia RTX 3080,13.3,1920x1080,9.8,1.99,macOS,1234.06
Razer,AMD Ryzen 3,64,1TB SSD,Nvidia RTX 3060,16.0,1920x1080,9.4,3.03,FreeDOS,3122.93
Microsoft,Intel i5,32,1TB SSD,Nvidia RTX 3080,13.3,1920x1080,6.5,2.68,Windows,1700.35
Asus,Intel i3,64,512GB SSD,AMD Radeon RX 6600,17.3,2560x1440,11.5,2.43,FreeDOS,2639.41
HP,AMD Ryzen 9,8,256GB SSD,AMD Radeon RX 6800,14.0,3840x2160,8.0,2.46,Linux,2727.06
HP,AMD Ryzen 3,64,1TB SSD,AMD Radeon RX 6800,17.3,1920x1080,6.8,1.55,macOS,2215.55
Apple,Intel i3,64,512GB SSD,Nvidia RTX 3080,17.3,2560x1440,10.8,1.37,FreeDOS,4036.12
MSI,Intel i3,8,512GB SSD,Nvidia GTX 1650,13.3,3840x2160,11.7,3.2,macOS,1858.62
Asus,Intel i7,64,1TB HDD,Nvidia RTX 2060,15.6,2560x1440,11.1,3.12,Linux,3453.43
MSI,Intel i3,64,512GB SSD,Nvidia RTX 3060,14.0,1366x768,5.7,2.48,macOS,2055.06
Samsung,Intel i7,16,512GB SSD,Nvidia RTX 2060,15.6,1366x768,7.2,2.96,Linux,1323.33
HP,Intel i9,32,256GB SSD,Integrated,16.0,2560x1440,5.2,1.31,Linux,2431.2
Acer,Intel i7,4,1TB SSD,AMD Radeon RX 6800,14.0,2560x1440,11.1,2.42,FreeDOS,1307.18
Acer,AMD Ryzen 9,16,1TB SSD,Nvidia RTX 2060,17.3,1920x1080,8.6,2.31,Linux,2188.95
